Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32309984,12/31/2015 12:00:00 AM,01/04/2016 10:54:02 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Food Cart Vendor,10024,,,CENTRAL PARK WEST,WEST 77 STREET,WEST   77 STREET,CENTRAL PARK WEST,ADDRESS,NEW YORK,,N/A,Closed,02/14/2016 04:29:15 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/04/2016 10:53:56 AM,Unspecified MANHATTAN,MANHATTAN,991569,223263,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.779478591619075,-73.9735728717903,"(40.779478591619075, -73.9735728717903)"
32308734,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 10:31:58 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32308673,12/31/2015 12:00:00 AM,01/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11214,2074 CROPSEY AVENUE,CROPSEY AVENUE,BAY 26 STREET,21 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/30/2016 10:42:53 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/07/2016 12:00:00 AM,11 BROOKLYN,BROOKLYN,983946,157511,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.599007569568904,-74.00109470309667,"(40.599007569568904, -74.00109470309667)"
32308034,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,715 ST MARKS AVENUE,ST MARKS AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/30/2016 11:03:47 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,08 BROOKLYN,BROOKLYN,998425,185257,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.675153075852464,-73.94889758557497,"(40.675153075852464, -73.94889758557497)"
32306738,12/31/2015 12:00:00 AM,01/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11207,734 HENDRIX STREET,HENDRIX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/30/2016 09:13:52 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/04/2016 12:00:00 AM,05 BROOKLYN,BROOKLYN,1015680,180999,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66342138028857,-73.88671133970169,"(40.66342138028857, -73.88671133970169)"
32305857,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 02:31:08 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32305053,12/31/2015 12:00:00 AM,01/05/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,10458,232 EAST  201 STREET,EAST  201 STREET,GRAND CONCOURSE,VALENTINE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,01/30/2016 12:39:44 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/05/2016 12:00:00 AM,07 BRONX,BRONX,1015784,257120,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87235311028456,-73.88597933385921,"(40.87235311028456, -73.88597933385921)"
32308055,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 10:28:28 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32306663,12/31/2015 12:00:00 AM,01/06/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),11215,UNION STREET,UNION STREET,5 AVENUE,6 AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,01/30/2016 12:16:59 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/06/2016 03:16:05 PM,Unspecified BROOKLYN,BROOKLYN,990016,185534,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.675922849424026,-73.97921270485952,"(40.675922849424026, -73.97921270485952)"
32305316,12/31/2015 12:00:00 AM,01/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11694,449-499 BEACH 129TH STREET,BEACH 129TH STREET,,,,,LATLONG,ROCKAWAY PARK,,N/A,Closed,01/30/2016 09:04:12 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/07/2016 12:00:00 AM,Unspecified QUEENS,QUEENS,1025893,150487,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57963029093055,-73.85008711397116,"(40.57963029093055, -73.85008711397116)"
32310169,12/31/2015 12:00:00 AM,01/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,154 WEST   92 STREET,WEST   92 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/30/2016 09:29:56 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/04/2016 12:00:00 AM,07 MANHATTAN,MANHATTAN,992303,227436,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79093172475263,-73.97091757406896,"(40.79093172475263, -73.97091757406896)"
